.interval,.observations,.portfolio_tickers,id_carteira,.market_ticker,shapiro_w,shapiro_p,adf_stat,adf_lag_order,adf_p
week,104,,13,^BVSP,0.8778052660188311,4.643590372125961e-10,-1.0804569719044608,5,0.922651195419826
month,3,,13,^GSPC,0.8942699543234817,3.5900092374643286e-4,-3.3275779424104384,3,0.07791182821620696
month,6,,13,^GSPC,0.9296299611600933,0.00817599127966669,-2.117058846003429,3,0.5274119896606643
month,12,,13,^GSPC,0.9407649407826861,0.03669705192380186,-1.985824388624579,3,0.5790328145115468
month,24,,13,^GSPC,0.8290076866188363,3.6259567346471597e-4,-2.1677291015903837,3,0.5083668318322939
week,13,,13,^GSPC,0.9949460736173007,0.6937382089593056,-3.420657322963725,5,0.05235711283937919
week,26,,13,^GSPC,0.9769321845020348,0.0020854323400037816,-2.3901567451280763,5,0.4126512046100145
week,52,,13,^GSPC,0.972588157298677,0.0015087496755014154,-2.615900240367743,5,0.31894506929807076
week,104,,13,^GSPC,0.8900881436240318,4.257402369296153e-8,-2.728555881844897,4,0.2738350271064448
month,3,,14,^BVSP,0.4412072577293574,2.1155333019359158e-13,-4.55192057755502,3,0.01
month,6,,14,^BVSP,0.9720878234180585,0.23786705542687653,-1.2973212517409864,3,0.857502516415229
month,12,,14,^BVSP,0.9349706066479196,0.01044460758623465,-1.3890408209659535,3,0.8181146881126383
month,24,,14,^BVSP,0.9415830089231014,0.0569119474281603,-2.4157837827257813,3,0.41136817792771163
week,13,,14,^BVSP,0.9868179728058903,0.021729516434825367,-4.510961173796225,6,0.01
week,26,,14,^BVSP,0.9759848803209613,4.899443736622711e-4,-2.807767951379943,6,0.2363035411960302
week,52,,14,^BVSP,0.9682068869109542,1.1273902049115648e-4,-3.091370563150218,5,0.11848699445192264
week,104,,14,^BVSP,0.9537820283965616,4.327312258277824e-5,-3.134142814225051,5,0.10344300459708068
month,3,,14,^GSPC,0.9543085742124978,0.05141256237190635,-3.5353195238742283,3,0.047407324182596994
month,6,,14,^GSPC,0.9577260081720855,0.08739829786188603,-2.1337213660559398,3,0.5207525937214824
month,12,,14,^GSPC,0.9702794915050238,0.3521160897023227,-2.4730554099338793,3,0.38749049756779586
month,24,,14,^GSPC,0.8490909193367351,7.284665403879143e-4,-2.297281579282632,3,0.458642292780283
week,13,,14,^GSPC,0.9777888693900598,0.001737623921456343,-2.946520878751774,5,0.17892848994856528
week,26,,14,^GSPC,0.9820650822345294,0.010837182195875013,-2.845845050315852,5,0.22172390016093338
week,52,,14,^GSPC,0.9371484013062881,5.42877631270267e-7,-3.5342576956817022,5,0.041255771768617014
week,104,,14,^GSPC,0.7968786934337273,7.273788163393923e-12,-3.70483960676712,4,0.02669439967782514
month,3,,15,^BVSP,0.646721485186853,1.8934792104433614e-10,-3.779468644778716,3,0.026019099060927763
month,6,,15,^BVSP,0.830813406194233,2.398653387759208e-6,-3.6968904085451917,3,0.03327556822747726
month,12,,15,^BVSP,0.9786016339990373,0.5218432500098307,-1.4578354941711695,3,0.790640777088191
month,24,,15,^BVSP,0.9343376646813762,0.033946396629953926,-3.3909774778097908,3,0.07456722706253044
week,13,,15,^BVSP,0.9721483519500448,8.518799172904281e-5,-4.018686302949076,6,0.01
